first_name,last_name,grade,gpa,gender,date_of_birth
fsybWQr,kXWPsd,8,0.57,M,18/10/2001
MFnlEEkA,rsCwXtkpZH,6,0.77,M,1/7/2010
JjwUKaH,cgEmVu,8,1.56,F,5/12/1995
MfDfiJfp,HNSYMPZT,5,0.01,M,7/2/2000
,123,20,abc,X,31/02/2020
lIr,TDBctcaFU,7,2.83,F,7/1/2014
zzeeQ,QhwQgcX,8,3.45,F,2/4/2006
TF,CBBWk,6,2.54,M,3/10/2015
Klc,gsqLN,2,1.07,M,18/9/2012
bhVHCngG,bpcLjcwdKL,10,3.87,M,11/3/1997
HHjwC,solqHKiI,3,1.29,M,7/1/1998
CA,czfftltd,9,0.78,M,23/7/2002
gLlwTmHfFp,KmjVbDKarJ,12,0.08,F,25/3/2001
kQueQpS,nHb,5,2.75,M,21/5/2007
,123,20,abc,X,31/02/2020
BSAJL,hA,8,2.03,F,24/7/1999
vIBdgDOtt,aBnjmjAqtG,8,0.14,F,8/6/2011
Ao,uurNh,7,1.96,M,3/12/1995
Bmmnj,rVoXG,2,3.18,F,9/10/2008
gdj,XaSrRzfR,8,3.18,M,21/3/1995
LxgxjR,iTnRK,2,1.56,M,19/7/2005
yUn,vmK,4,2.04,F,3/1/2014
pmxuyiP,fSPLoywL,3,0.79,M,12/2/2005
PPxetqkZDu,hMxlQWq,6,0.81,M,23/10/2013
,123,20,abc,X,31/02/2020
qMixM,IkUafgFV,12,0.86,M,26/11/2014
ChXmUGbJ,olCIXuv,11,2.01,M,17/8/1996
SwEzvwDp,CzHt,7,1.79,F,20/6/2011
BE,KOQC,9,0.67,M,4/6/1997
nj,lgXWci,10,0.91,M,27/3/2014
jNxdzRnPLx,AuvNvnXF,6,1.03,F,23/4/1999
jsFjrpY,dKgHA,7,3.01,M,24/2/1996
nMaHZz,kbZZ,3,1.62,F,4/9/2011
dPcC,wNDtZbfF,10,3.96,M,24/5/2008
,123,20,abc,X,31/02/2020
WcJi,AkKOx,8,3.26,F,5/11/1998
TJWRUvEnP,taVo,8,0.69,M,7/9/2012
fLU,Jnj,11,0.26,M,14/3/2015
KrTn,WVNWmllqQ,4,0.17,M,8/1/1995
RBcl,QLWs,12,2.22,F,2/11/2005
GXjp,Xyhfa,12,0.7,F,28/3/2009
iwKd,PbGvUngz,8,1.51,M,25/12/2009
oMTxLMK,il,1,1.58,M,12/10/2012
DKrMpI,YcrfzcNTl,5,2.16,M,3/2/2015
,123,20,abc,X,31/02/2020
dt,ztOIYf,10,1.84,F,7/10/2007
eoQxz,YpwaaqZbpQ,10,0.92,F,18/12/2008
CrAhdsnpD,TT,9,2.38,M,23/12/1997
xaqsFRiajJ,kxqPoX,6,3.56,F,2/9/2002
rd,IbsdzGVs,7,3.15,M,25/10/2000
DOoOabPR,nzmRN,9,3.98,F,25/10/1998
jAnYulF,BX,4,0.34,M,23/4/2008
yJCUpzf,TdkMNUD,11,3.64,M,16/6/2011
afzXYisqf,diJshHUe,11,2.77,M,15/9/2013
,123,20,abc,X,31/02/2020
Bfe,hz,9,2.92,F,1/2/1997
TJUtaAYwz,TV,8,2.12,F,26/4/2010
ye,sL,5,3.14,M,11/10/2008
LyHEFlcKnp,ZLLwUeZtg,11,1.37,F,26/9/2007
FTqeEXS,tUOwyRNddo,2,2.72,F,2/10/2000
vk,YOEuRdsVgy,10,0.29,F,8/10/2009
lbS,CrQdNi,7,2.42,M,9/5/1996
GyRoM,LtZ,8,1.6,M,25/10/2003
yiHqDDOy,EVJ,3,2.76,M,25/4/2004
,123,20,abc,X,31/02/2020
aEQQ,Ezog,4,2.19,M,23/12/2004
KjsuXP,aVLspRc,6,1.64,F,21/3/1995
pIXSwr,EXOVlnbVah,1,1.49,M,17/2/2011
pvcegRDd,jFv,10,3.69,M,27/2/2010
Dp,GThg,4,1.21,F,24/12/2006
wrMDjyDUM,lMpPROwu,12,3.29,M,21/12/2014
CJkStqLQKY,vmhmuGmU,5,3.37,M,12/4/2015
gltIYoxX,IRBi,4,2.83,F,5/12/2002
yi,uEi,1,2.75,F,2/7/1998
,123,20,abc,X,31/02/2020
UL,ecKvWs,2,0.17,M,19/9/2000
hWYStPWUK,SpLdBvj,1,3.62,F,27/1/2003
SyQ,ZlSL,5,3.04,M,28/10/2004
ciD,MDIakrSRLp,9,2.73,F,1/2/1996
rNTqE,ldfuOMbB,11,1.6,F,6/1/2014
zWIlPKXaJl,Ej,7,3.35,M,9/7/2003
cipGBgH,RxNO,3,0.46,F,22/1/1996
YdtGukJB,gOZSWPm,3,3.31,F,9/7/2002
AAGLZUncq,DFUcCH,10,1.75,M,20/7/1999
,123,20,abc,X,31/02/2020
Fmvk,AnUqbwk,5,1.66,M,28/8/2011
JtUDm,EQsgGK,11,2.17,F,28/3/2004
eoyUNnI,XaScmdCJtC,12,2.55,F,28/10/2014
GT,gakvAFayJ,5,1.07,M,10/1/2014
EXi,ti,4,2.46,M,23/1/2001
pnbZ,efx,3,3.14,F,28/11/1999
vjORfwiyJ,UUJ,6,1.2,F,12/4/1997
KfQCqqsT,gdYfM,6,3.47,F,24/7/2010
nkEQa,ML,10,3.31,F,18/9/2000
,123,20,abc,X,31/02/2020
xLFD,arvuiU,11,3.06,M,24/8/2010
PhTXKLpAyr,UDPJCn,9,0.24,M,17/2/2001
AirAU,cM,1,0.94,F,10/1/2010
fJGfo,gj,5,0.65,F,12/9/2000
xnyxB,GcHditTIOb,10,2.47,F,13/11/2004
McJRvn,IpyfJy,1,1.29,F,21/1/2001
RhdDdel,mqSM,2,3.37,M,9/8/2009
xOWiCKn,Ll,8,1.51,F,4/7/1995
IzeBNOv,iL,11,0.68,F,21/3/2002
,123,20,abc,X,31/02/2020
qZvZ,DcCJh,6,0.45,M,5/2/2012
uaXTYoLM,gdCgIpy,3,3.79,M,3/9/2015
pAolvRpm,nmtRIsx,5,0.21,F,16/6/2002
xTfjpggC,JFCK,10,1.83,M,18/7/2011
nSxN,cwY,9,2.14,M,13/12/2015
CPBUJQv,UWTUCqi,5,0.25,F,7/12/2006
TkIXnqrIsR,ZOpGAqm,5,3.08,F,20/5/1996
yL,XvjxyW,10,3.51,F,11/12/2008
VROE,CA,11,0.51,M,12/1/2001
,123,20,abc,X,31/02/2020
zE,mJ,12,2.5,M,6/8/1999
Ih,AFZqFs,9,1.31,F,22/8/1995
xM,svFhjPzYL,10,0.15,F,19/10/1999
Aom,WdeVjeifN,1,1.92,M,12/3/2002
xJi,scCNnxk,12,1.96,M,10/6/2002
Wpa,ZaVEp,8,0.13,F,25/11/2011
CxP,ChmtYYkMXX,11,2.46,F,7/5/2005
jOyapHDVhq,sDfz,9,0.41,M,20/3/2012
pjdRc,kEk,3,3.97,F,4/7/2011
,123,20,abc,X,31/02/2020
mpFgUWHvw,tOzOhKqPJ,3,2.24,M,17/9/2011
Pc,IUppw,7,0.58,F,3/12/2006
OlllkM,LxuedMmi,3,2.36,F,23/8/2010
UaPfLZHLM,bbZSBcDW,11,0.86,F,5/9/2001
ptKiQzC,eZ,8,3.51,M,18/2/2012
NtTA,oq,12,0.12,M,5/7/1999
jQnllHEu,MqWeq,8,1.29,F,18/10/1999
UMqFeCjEzw,BeZeV,11,0.23,M,16/10/1995
qWgtJcTf,aIxyQyfj,6,3.9,F,16/5/1998
,123,20,abc,X,31/02/2020
bTXGmKNxi,iPj,5,3.03,F,25/9/2012
aP,vWsdqF,9,1.21,M,14/10/1997
qsiWPH,yqBgeOZJF,5,1.64,F,18/11/2015
sZlXgnTZ,BjY,10,0.15,F,13/5/2001
DtqAHuW,NmJaSqkEkc,5,3.2,M,10/8/2013
vgmaVdRB,qFchcApEGm,11,0.65,M,14/12/1996
zlTe,ODbVf,5,1.11,F,28/12/1996
juQnh,YBfIQg,12,3.05,M,11/12/2002
YKDhY,VZUOB,8,3.85,M,10/5/2003
,123,20,abc,X,31/02/2020
dhDDtwKYC,ruf,6,3.06,M,5/8/2003
tmam,rHVG,4,3.14,F,14/3/2002
qsPzPWQ,rhWOmyZpr,10,1.92,F,12/2/2002
aLuu,fAnOkMuU,7,2.5,F,20/9/2002
YOeyox,fTT,11,3.45,M,17/10/1998
eQeHMyJUFW,nOcpQtrxch,9,0.52,F,20/5/2004
ussVnfJe,SiIlVokC,7,1.37,F,12/12/2006
qyGiVRDL,eQAji,12,3.5,M,24/8/1996
XKCJnENW,bxzyezT,12,1.99,F,13/9/2011
,123,20,abc,X,31/02/2020
uxlRqtzcyK,ZKfzXEbG,7,3.01,M,1/12/1995
JjeNMqtUs,uWAgtABOFI,7,2.82,M,25/9/2006
HP,LNn,4,1.78,F,7/1/2008
KO,RnZwKna,5,1.85,F,14/4/2009
BXbyOp,bmpfsToFn,9,2.27,M,7/5/2015
edVGij,LacEcZMyy,1,3.13,F,4/4/2000
NYnvI,iAaNftLxxr,10,2.21,F,2/3/2009
KsdCgpBn,IvkZQhUC,9,1.68,M,9/6/2007
TrGKv,yvxLHQKS,6,3.91,M,21/4/2012
,123,20,abc,X,31/02/2020
JoIbmw,Ph,11,2.75,F,11/11/2000
EgkdQ,cwBiKIyXEw,1,1.37,M,5/12/2001
JwcHNW,xsCz,8,3.09,F,10/10/2002
ITg,AxQK,4,0.76,M,12/12/1999
PwkpNFprZk,BswdI,3,0.91,M,19/4/2012
eymHsU,gsxDYT,11,2.34,M,16/7/2009
rUqota,AtsVW,10,3.89,M,12/3/2006
RSfb,nIRprBLb,12,3.25,M,27/1/2008
Gm,Tdv,1,2.4,F,6/1/2005
,123,20,abc,X,31/02/2020
buzY,EHKCwHq,7,1.85,M,21/9/2006
UMg,eSOq,9,1.85,M,2/5/2010
yMLq,EpV,10,3.24,M,14/3/2009
fGIE,ZGrywxRkZ,5,0.27,F,17/9/2011
fbSH,agK,7,0.06,F,2/4/1998
afHFhY,QbJiWocIte,9,0.38,F,22/2/2003
hnEUiTme,PWwMxnuH,2,2.1,M,20/2/2010
QwEqYTYT,EIjbwu,4,2.88,M,20/1/2001
QbuVdVfrRn,YRop,8,3.1,M,19/2/2014
,123,20,abc,X,31/02/2020
tYAnvpy,jvYBojYP,8,2.82,F,10/5/2002
ROaPw,xvnjxVjMEY,12,2.08,F,1/8/2008
bUxOWUrsDI,bDPAexm,7,1.29,M,6/11/1995
Wb,UDtV,8,2.2,F,21/2/1995
cGmM,aBzQZoUA,7,1.92,F,12/6/2000
goJZOvUizx,OQQ,1,1.22,F,17/6/2002
SfZRnS,rKlX,12,1.72,F,26/12/2002
wJuSiuOuye,TOMGki,5,0.85,F,8/11/2012
uzfrlzANH,aMJEEwbDT,6,2.58,M,21/8/1997
,123,20,abc,X,31/02/2020
bN,ENG,3,2.39,M,1/6/1996
SCuZze,xUW,2,3.74,M,12/11/2001
hx,ccKS,3,2.0,M,7/2/1996
LaiJtG,rP,9,2.11,F,5/3/1995
SNBxem,bdM,3,1.91,M,15/11/2002
amVpsDQQbj,dGX,9,0.97,F,8/11/2013
mdbqznTGq,yEpg,2,3.07,F,14/11/2011
zWw,bpaXeJbSE,11,0.49,M,18/2/2012
gocL,pOgrcd,3,0.24,F,13/12/2001
,123,20,abc,X,31/02/2020
sK,uyy,6,3.08,F,16/5/2014
jm,jtGWlZDfa,6,2.11,F,21/8/1998
AxWFnAnIXI,sY,5,2.94,F,27/1/2015
JTZYnJtfKw,iyo,6,2.47,M,23/5/1998
iofEMaCqal,QpXbL,2,1.16,M,26/2/1997
LHkig,Mv,12,1.45,F,2/6/2005
xvTNBILY,Xq,10,2.74,F,23/11/2008
sDmv,SHEjFxKTuI,5,1.25,F,24/12/2000
ZCypDq,lV,4,0.56,M,25/1/2006
,123,20,abc,X,31/02/2020
wR,tDL,9,3.12,M,6/12/2008
PpEYdVSKo,elr,8,2.56,M,20/10/1998
YuddrpuUH,rS,1,2.34,F,28/7/1998
moWychr,bCkVDHVE,4,3.39,M,11/8/2010
flKmw,yJFmdrt,2,0.18,F,23/2/2010
DkHx,wI,6,2.53,M,12/6/2010
wYiucyT,sLmM,2,0.34,M,17/4/2013
aK,OhOnfw,3,2.86,M,6/7/2005
LtGkv,Xoctjmj,8,2.94,F,21/12/2003
,123,20,abc,X,31/02/2020
JZ,EBZmy,10,2.36,M,12/9/2010
lgb,Qq,3,3.42,M,21/4/1999
cE,krQRVe,12,3.03,M,21/7/2000
GZINNuk,GBK,3,3.9,M,4/12/2015
eYGdBBljGF,RsQGASTg,8,3.23,M,18/4/2014
odU,zkFPAD,5,0.92,M,19/8/2010
uIIk,nL,6,3.97,M,15/10/2013
aughx,RtrO,11,1.29,M,4/5/2008
LzKDTGv,Oxp,4,3.04,F,4/9/2014
,123,20,abc,X,31/02/2020
iKLYQMkkZ,GPFjI,11,3.64,F,25/11/2006
NMlVES,gZH,2,2.1,F,14/3/2012
ki,EVyyaXn,2,1.23,M,15/10/2013
hXx,NmmlEm,8,1.34,M,19/9/1996
CNLuQs,uuVfBm,6,0.32,F,24/11/2011
OSyHmr,qbIXG,4,0.56,M,27/3/2008
NzTnKxe,aofo,5,2.54,F,5/11/2010
WnwhQtSK,qidjnyTm,5,1.0,F,3/5/2005
MsQYjd,FVfE,12,1.41,F,19/10/2009
,123,20,abc,X,31/02/2020
Cs,DxbEhsVNs,7,2.66,M,3/5/1995
uqodydMl,empN,4,0.75,M,20/8/1998
yL,IgTpqJDYAe,9,0.08,F,11/6/2015
PXIqiNUrHs,FoGeP,11,2.89,F,21/11/2013
PIemszSaYM,IbOKq,2,2.83,F,6/12/2001
hrkx,mZFUgbDJy,10,0.31,M,15/11/2001
uOJPffe,PqwjXhhr,9,3.09,F,6/12/2011
qx,OMDsUUOMv,1,0.81,M,5/12/2014
jlazicchk,PNAbajWLo,3,2.32,M,7/3/2000
,123,20,abc,X,31/02/2020
VGQy,ihV,4,3.64,F,18/4/2002
OaVMkcLbk,he,5,1.1,F,8/8/1999
yWYiYlUeuj,Slq,3,1.22,F,17/2/1999
fIgCiTu,TLV,7,1.13,M,9/12/2009
SHHPuakG,lzgomrIxdG,3,3.38,F,24/9/2004
VRNq,BLTw,7,0.16,M,6/6/1996
UOneXNjgZH,iMZQDRK,6,2.73,M,2/10/2007
RSu,XjabjrHwbp,4,1.32,M,17/7/1998
KilW,sZBgAqKw,1,0.11,F,22/11/2006
,123,20,abc,X,31/02/2020
qs,Qc,5,2.26,M,27/3/2006
IiqLhgixd,KsRvcHvBj,7,3.86,F,19/8/1997
gwfoQLIV,Cce,11,0.26,M,20/1/2009
lPjlqi,zQvXun,3,2.2,M,25/9/1995
KbeVzbpkCt,eLuDU,5,2.89,M,17/3/2000
jVdxvrr,Xel,12,1.52,F,8/8/1995
IGyXfmUdQX,Bj,4,0.26,M,18/11/2006
bdFr,vvPSQaSPa,7,0.26,M,7/1/2006
BqZAXVobmh,KHs,3,3.69,F,11/5/2000
,123,20,abc,X,31/02/2020
aPvjrOh,kcbyF,7,2.7,F,28/10/2003
yoHjnrHP,ids,9,1.24,F,26/5/2009
WbtKxeM,MJnH,1,3.89,M,13/1/1997
wiBygJuMt,oTC,10,1.43,F,16/10/2000
BfpkIDCH,otjW,4,2.22,F,28/12/2002
GDvkeM,QLlsz,2,1.37,F,9/8/1999
GJhiwoKbbN,oEIp,4,1.93,M,14/10/2012
RoW,UqlQBzjM,9,2.39,M,24/3/2015
LdHoHlOno,Ab,6,0.04,M,15/5/2011
,123,20,abc,X,31/02/2020
nF,XARZDD,4,3.61,M,26/1/2012
YIVpvP,AKPk,11,1.49,F,25/4/2003
IcLkg,Kn,2,2.79,M,27/4/1998
pREdjNsjSw,wCFKWNAa,12,1.13,F,27/6/2011
ZQdoIu,iwe,5,0.86,M,4/8/2003
ISzjv,VftMusuatS,3,1.62,F,13/6/2006
wjkOLQ,HtoL,12,2.42,M,28/5/1998
WBvasUcEI,wQMHdZBRYu,5,0.8,M,3/9/2002
lBaUQ,nCcfv,8,2.85,F,3/12/2011
,123,20,abc,X,31/02/2020
OukerLQXMA,esiABqCz,2,1.47,M,27/2/2005
PmaGqA,vYmpJkz,1,3.98,F,27/4/2004
hRlZyurO,pM,2,3.38,F,26/4/1995
lkybSDSTN,xuYs,1,2.86,M,16/8/1996
rYXfex,SC,3,1.07,M,15/10/1997
HDVY,hNjxCQNbUq,2,3.79,F,22/2/2009
hegs,AwAgtw,12,2.04,F,20/3/1997
cgkH,PO,1,0.81,M,21/1/2014
YBpnBjj,ODRFfyy,5,3.53,M,8/1/2001
,123,20,abc,X,31/02/2020
ZtgThsb,MUk,8,2.37,M,3/11/2009
ZyyVwNodI,ZfIVY,10,2.0,F,9/4/2000
ovcrDBAGr,wU,3,1.65,F,5/1/2001
pJqVXJrB,uzEyY,5,3.47,M,5/9/2011
ugVVunw,YqRPsi,12,0.38,F,23/4/1995
LHMXqDe,CDKCcsGNRS,3,0.57,F,16/4/2009
vj,vSFJyW,9,1.04,F,13/4/2011
vDwce,NQNDJ,1,3.53,M,19/2/1997
ChWtxfi,ardVtuC,9,3.49,M,20/3/2010
,123,20,abc,X,31/02/2020
zYAHGRAf,VSJd,10,0.91,M,8/3/2003
jsgynHzZP,XN,2,0.25,F,27/10/2011
ZQdcTmwXrT,qanzbwABlD,11,3.98,F,9/12/1996
etxKGbwLA,akhciAXl,9,1.92,F,5/2/2000
IaGdcfNP,kcNYtg,12,2.09,M,7/8/2010
LPsGTmUaWF,yMcnNpOP,11,1.06,M,2/10/2008
ehGMSMTT,VIPAQPvS,10,3.72,M,25/10/1999
cVoYtg,jDKTC,12,3.13,M,14/11/1998
QoViLzcxqR,YBtExr,8,0.34,F,16/5/2014
,123,20,abc,X,31/02/2020
fpUmGfcliQ,VByLNxFs,7,2.52,F,19/6/2007
tvOlJVP,ntBpvmkW,12,1.28,M,25/9/2014
dIzVCHJhA,bY,3,1.63,M,18/12/2013
xE,jvbXT,8,3.72,F,4/12/1997
Ps,yu,11,2.53,M,21/1/2009
csU,VZMmU,7,2.44,M,9/4/2000
xUSjkuiGX,gmBkHUuwH,5,3.25,F,9/4/2011
LTMjmuxL,HtjXi,6,1.18,F,2/8/2003
NhSza,aqhhotDui,1,2.13,F,17/6/1998
,123,20,abc,X,31/02/2020
yrSpEVRR,RkHSrzQesw,10,0.84,F,6/7/2002
LxBhmmA,Fu,6,3.66,M,21/7/1995
urp,Swzzbd,10,1.81,F,6/10/2007
ilSvEu,xCdw,4,1.17,F,6/7/2012
fmUtzbZv,XKm,6,0.57,F,11/5/1997
PdehJ,XDcEPqDsEs,5,0.04,F,16/5/2001
gVFmcyzQKx,djomT,3,1.41,F,12/5/2010
yf,TuNSyobbSz,6,3.03,M,13/9/2014
ZMpDXPSdb,BacuD,8,3.53,M,13/4/2010
,123,20,abc,X,31/02/2020
wzwrElPwpR,pZmLllNgsL,8,2.84,M,10/12/2007
cEbpf,ZgSTGDnnJ,5,2.66,M,13/4/2004
mXgNUoTc,ytNyv,5,2.98,M,20/7/2012
XTkA,LihBk,8,3.68,M,19/10/2001
pXmxF,GMiSFiAOa,9,1.69,F,18/10/1999
rwEz,Fkp,10,3.15,M,1/5/2010
oqL,sAKgs,2,2.2,F,5/11/2013
lkDi,MmzLFMG,10,3.04,M,8/4/2009
KlIWmWxHZ,ukYoEquSII,7,1.65,F,17/5/2000
,123,20,abc,X,31/02/2020
lHxSQY,eiKCMDFu,8,2.62,F,19/7/2001
cEy,KpoRkGHpN,2,2.79,F,7/2/1999
lqE,lSQLJGa,3,3.05,M,1/12/2005
ODSFb,isOtJSiab,5,1.55,M,7/7/1995
gDbej,Ou,9,1.92,M,15/6/2007
AZzMNF,CA,3,2.19,F,2/10/2001
dgQqoU,IziSUw,10,3.98,F,25/3/2014
iprxgcGD,xkxMfZ,10,1.8,M,3/11/2005
aUKbLWXg,NP,9,1.34,M,28/6/2004
,123,20,abc,X,31/02/2020
ACShMO,weIM,6,0.67,M,13/5/2006
Uik,KHZI,1,3.73,F,7/3/2008
YZfkHxfX,lI,8,0.12,M,12/2/2011
RpQVjTlUTX,TkGILgrxho,4,2.04,F,12/6/1995
OUmbukDIt,rQn,7,3.12,F,4/1/2007
jEITR,PdUMP,10,3.37,F,25/8/2008
jqt,hW,11,3.31,M,12/7/2002
QSOUtKs,ZgUKzGXnun,12,0.79,M,5/4/2007
uWXCDngfJ,ly,5,0.75,F,14/2/1995
,123,20,abc,X,31/02/2020
rFPGFj,upyzXtuZa,10,2.65,M,11/5/2001
SvmxFG,BZPQx,5,3.22,F,24/11/2002
kZihT,KBExW,12,0.15,M,17/11/2000
MkPYcvHcqK,BR,11,1.66,F,28/11/2001
lu,JgwxGCqhbH,8,0.17,M,7/1/2002
dvmVUFLDEI,EurARUGSom,2,0.24,F,14/9/1996
sSvfonO,tXhDstIfn,4,1.39,F,21/10/2005
UEoptxe,RpwyhiJs,8,1.85,M,16/12/2015
FTByvszjMz,Rvx,1,2.23,F,26/3/2003
,123,20,abc,X,31/02/2020
HaYElxDT,Nup,11,1.5,M,20/2/2015
dcqlXMT,xT,7,0.23,F,24/6/2015
yUr,TLYK,9,2.02,M,4/6/2014
dMxxBGEx,ATZPMVoF,11,0.37,F,19/12/2014
iXK,omAzsO,7,1.95,F,1/5/2014
wOU,Smls,4,3.8,F,24/11/2006
EVBedjp,nBHSLavu,2,1.84,M,11/12/1996
BhFsfrE,YY,2,2.77,F,5/11/2003
IQgukaGXF,ekPokqEs,12,2.05,M,11/3/2006
,123,20,abc,X,31/02/2020
soZtEryz,VMUJFqErVb,3,2.92,M,28/12/2003
MoogViuG,OgI,3,1.14,F,12/6/2007
lKzX,KHqjvNxxa,8,1.72,M,4/2/2002
LWcPEI,WBBu,10,1.77,F,23/8/2002
vV,OKrl,1,3.14,M,10/3/2009
hBqBQUjSP,xqiXoqP,10,3.23,F,25/2/2008
jrIgtKB,VoXdsBzSln,2,1.5,F,15/10/1996
RYHEzobKH,zDrA,2,0.91,M,16/9/2006
Umnn,VhbeDKJmD,7,2.79,F,9/8/2007
,123,20,abc,X,31/02/2020
