first_name,last_name,grade,gpa,gender,date_of_birth
hDEMtw,OmgzBxeWi,11,0.5,M,24/4/1995
afZnTSZD,mBAX,7,3.07,F,13/12/1998
jCkkgbqr,ZByQkqiN,6,1.46,F,4/10/1996
gbvz,GcijI,12,0.26,M,1/7/2009
zX,kFUtlgDxTi,3,3.46,M,18/2/1996
OpEbKh,oaxoj,9,0.97,M,11/7/2004
JwOTDzPjcf,ByNvCO,4,0.45,M,4/5/1997
jPMyhAH,PAZD,8,0.9,F,26/10/2015
DycHBCTc,pXkdNEW,3,2.5,M,17/12/1997
ywA,PWxeRWHH,12,1.17,M,14/1/2001
cGVjW,tOavqUtkoT,12,0.85,M,20/9/2001
iNzBPGRDp,JuI,10,2.05,M,13/5/2015
VPY,bYNB,9,1.44,M,6/5/1997
fEnzR,fwgOcWE,3,3.66,M,23/5/2005
VFnPQZNwP,cGDw,4,1.46,M,13/11/1999
FcAsWxkBjc,gQqGi,5,1.94,F,11/10/2002
YwAxbTE,vhughA,2,1.38,F,10/11/2000
hdggVRcz,ZdBALTkcfm,2,1.27,M,25/10/2012
jShIZhkins,jncVqKLJV,7,1.79,M,8/9/2005
ATQ,GDx,7,3.74,M,22/7/2010
XvyiaIlQCa,PSzyPoS,2,0.73,M,17/1/2000
xUvoUhcg,aaxeeepyK,7,0.67,F,10/5/2010
dpBSfdFv,XcIUv,6,2.77,M,17/8/2000
SNBJPj,iss,6,3.5,M,22/3/1995
ha,OdjT,12,1.01,M,20/10/2012
MlCPjBZ,FlFPjk,3,2.77,M,28/10/2006
EdQkUpnSe,bAqoOxpU,4,1.41,F,7/2/1999
iszzrm,MNV,5,2.38,M,10/4/1995
SsqORl,NRCO,11,1.96,M,10/7/1999
Krmz,HIeCXzh,5,3.6,M,1/3/1995
GAtTPn,sa,11,1.82,M,26/8/2000
aa,AKwmQRBgd,3,2.98,F,26/1/2010
Vwxx,OLEGWgE,7,0.98,M,4/7/2004
WJs,UIxpgA,4,2.91,F,1/8/2013
tqtuqHS,vDhRxugrk,12,3.13,M,5/7/1997
zPHNfXAw,FUWACPo,6,1.57,M,17/6/2001
nKqsBWenQZ,JSJXiLNLW,9,3.42,F,10/3/2010
OBdlnTWdJJ,AA,2,3.46,M,8/9/2003
HnkJSJnOBY,kcpdNcdeEx,9,3.93,F,3/8/2015
nYBIQpzFL,eqDhVEUCG,6,2.92,F,27/3/2011
fQKBCnpFIr,cU,4,1.26,M,16/6/2012
mqDZJtOoWU,qYY,8,0.46,M,27/11/2003
Qxfp,qqIcEb,1,3.02,F,15/7/2003
mRADN,ZFFeUh,11,0.08,M,19/3/2011
OB,hcYLDzkx,9,0.69,F,15/8/2014
XH,waOFex,3,2.75,F,17/1/2014
iadKF,Faikrs,8,2.56,M,9/2/2000
cVTBFlkfQ,qLMbk,7,1.93,F,20/4/2001
rWbWBD,eLiczn,9,3.0,F,22/12/2014
UXU,wfVzuDsn,11,2.75,F,18/7/2004
EUyia,lQnlVjtM,7,3.64,F,2/6/2014
ZeVFjVLVye,TbNdQTgHK,12,2.85,F,28/10/2008
WPUhdrNvys,dyXrZQ,11,2.91,F,15/6/2001
mCfONddEm,IQKk,3,0.88,F,23/3/2015
KISAZ,kcj,2,1.39,M,9/12/2007
arct,mJHEb,12,2.7,F,16/2/2002
ebzmtRFP,QuLxRIcN,4,1.6,F,23/10/2000
sfqwaIkci,TvxdUmxFKQ,4,2.01,F,26/4/2006
BQZYXloqo,kkSNM,9,1.91,F,15/7/2007
WMlGhN,KWDZKhQ,3,2.25,M,16/6/2001
JsdNGIohfY,bgtB,8,3.21,M,7/3/1997
nog,oqevqwf,7,1.19,F,16/7/2009
rNhvqQQOd,jwdRLk,10,0.13,M,7/2/2015
JJ,tJQkccqiT,8,2.44,F,24/5/2013
fklvP,XsDWhfzC,5,2.59,M,27/1/2007
gVuJFK,PP,11,1.73,F,28/11/1997
iyRBZUY,bLsqSn,8,3.58,F,28/3/2013
qgOSx,HjsLZltepb,5,2.87,M,28/5/2007
jNyxiD,zjexfWUf,7,3.15,F,1/3/1995
Iif,WZwn,6,1.42,F,1/1/2005
fNWBvgX,pzEjtzX,5,0.46,M,7/2/2008
syQSvit,nWEvlXzwx,11,0.39,M,25/10/1999
rPszYDVd,Bg,12,0.3,F,7/10/2010
jkpn,LrQuwGqi,12,2.35,M,11/7/2004
uzXln,IagmgsK,1,0.64,M,18/4/1998
Qm,AYd,12,2.4,M,24/4/2005
JyFbns,XPYZogY,11,1.99,M,19/3/2006
EbAOi,QzYkhPemX,12,3.26,F,7/10/2005
jMFuKP,Otegoe,2,1.31,M,1/4/1997
Bc,QczKy,4,1.55,F,18/2/2007
JNyCkkf,FnSiVe,3,1.75,M,23/9/2004
PdYtQvdjJz,ecqj,7,0.65,F,17/8/2000
mqplPlh,rQRQe,1,1.6,M,21/4/2013
FMJqVO,GXbuui,11,2.36,F,5/11/2001
cFPdsn,XQiHoey,6,3.93,F,10/2/2010
Kki,KrlZIOWJ,2,1.52,M,12/2/2006
pAXTZlveP,cfD,5,3.18,F,16/9/2009
FPYkBjOuQp,zpV,7,2.98,F,22/1/2014
eg,VaqURUZ,7,2.18,M,3/3/2007
oZUNtU,xdEtOORQYR,11,2.89,F,18/1/1995
JT,uYRaeLvdm,2,0.08,M,13/7/2002
sZ,mYRszqeHEg,1,2.68,M,11/6/2015
mdVxZGl,YpQQg,2,3.64,F,7/10/2009
Ab,HMGRhO,8,2.56,F,20/3/2003
HZBldSG,SMjh,1,0.48,F,8/10/1999
tnCXtQa,nlEExXM,3,2.52,F,9/11/1997
PWba,illRxQWDTe,4,2.94,M,24/10/2004
XmADKAw,QTSnjEWxN,7,0.6,F,2/2/2000
EAKfsXglvE,ezREaYxWr,8,1.2,F,19/5/2004
EGh,AIdyeiM,2,0.24,F,17/10/2015
LUizpJQ,nFmNh,1,2.14,F,16/12/2012
gq,YskuUqWN,5,2.11,F,3/1/2013
UuPIAiwLjW,xTmXaX,3,0.53,F,23/3/2009
nRswlUJh,vhxtw,3,2.59,M,16/2/2015
OdWe,ZJvTNhwFDD,9,1.91,F,2/7/2002
DT,MXS,5,3.57,M,9/5/2001
BVKvOLLZXP,Ucf,12,3.56,M,26/4/1995
bc,cVsWBTtuV,8,0.78,M,22/11/2012
VpjQ,gZsYrcTce,2,0.25,F,19/3/1999
MuN,fr,2,2.89,F,13/9/1999
hMQE,DBbaRY,1,1.83,M,22/8/2007
VtcWG,fWaOAcLWF,1,3.24,M,12/12/1998
ZtezPZr,Es,12,0.74,F,20/3/2006
xYBp,kMIFMml,3,0.7,F,28/3/2010
UIb,SL,12,3.81,M,26/2/2013
JSwkSWSK,KArFSRrYY,9,0.29,F,7/4/2000
ewGLc,rPUtmes,4,1.55,M,19/11/2000
ezvewdH,gpVLahP,6,0.82,F,22/6/2015
aAeghJys,uFtppQEhf,11,0.55,M,25/4/1995
BvyzAE,lNMADI,7,3.68,M,8/10/2012
iFWel,aMlln,6,3.73,F,19/12/2003
aECgh,beGJMuk,8,1.02,F,24/6/2007
NURei,HqGNqPa,3,2.35,M,13/11/2015
jWTW,Bg,9,2.77,M,21/2/2010
ZF,XWbAJOhHZl,3,3.54,M,7/12/2002
GrNTe,pRDZBv,8,2.82,F,6/12/1999
aVRnEkpdlT,MngyAJNXFp,11,2.38,M,27/4/2005
vLJVmvtp,rC,5,1.58,M,17/4/2000
OQQ,fqr,9,3.65,F,16/6/2005
lYrBEJAnuq,emaxM,1,0.4,M,16/12/2012
RPikR,qdunBC,12,1.11,F,24/6/1999
oXmwkWYD,KeqEZn,5,3.29,F,11/5/2004
GpwS,zsWQk,9,3.67,M,20/10/2004
GzsHiM,YelSkmjOG,3,1.69,M,16/8/2013
jtUk,MuwHdBt,6,2.5,F,14/9/2014
FuIj,NfspiXt,4,3.4,M,6/9/2000
BHSLv,vmTX,11,2.45,F,8/4/2002
pLjoBiolT,bAxrQySqC,1,3.87,F,14/4/2005
alKsUzt,jLQKIQ,1,1.49,F,21/7/2005
pDVPSRrM,tNeAwsATr,9,3.11,F,13/7/2009
QmW,FOrOKupc,8,2.12,M,15/10/2015
po,tAOpnIuNA,9,3.0,F,4/10/2009
wOATqTCxjH,qCMy,2,2.11,F,23/7/1997
BYsmkSNOIF,LhvsoANJj,7,3.72,F,21/12/2002
skvi,GDJgGJYV,8,1.69,F,19/7/2010
whUNS,gyC,12,2.81,F,21/8/1995
whb,ZSxmCP,4,3.99,M,20/5/2009
xmhq,hp,7,3.66,M,8/6/2006
ukxAwUyXs,mL,7,1.75,M,23/6/2009
Adk,EsNEUkyq,10,1.19,M,16/10/2005
ImuSX,Of,2,1.2,M,9/12/1997
jV,FExa,3,2.07,F,26/3/2001
jCSoQp,ZaUusGQdTc,4,2.14,M,6/10/2009
mausTzZK,vtlfi,4,1.45,M,6/6/2005
TFNPFuyg,AAE,2,1.53,M,28/12/2002
kxGJsOm,cyuM,1,3.33,F,27/12/2008
PKhoNpP,oS,11,0.86,M,8/5/2008
QTuxLU,pCCvjerpQO,6,2.25,F,7/4/2015
PzgojW,WyHyLKWeXp,6,1.9,F,12/5/2012
ISGjmbgEBI,hXzozTkoy,3,3.06,M,12/6/2002
iicgsUgE,rwjrv,1,3.38,F,15/6/2011
GDxWoVchB,bLvgzpYX,12,0.35,M,12/3/2012
eGh,Qba,12,3.1,M,27/3/2008
aTZDyvRlH,oIBgj,7,3.09,F,3/3/1999
yrnQHn,oCaBmr,1,0.31,F,7/7/2011
gkVGCveew,hFfU,8,2.29,F,8/3/1998
cUmudK,Rbz,4,1.51,M,5/11/2013
kiFQkMoF,DRWqssZZ,3,0.32,M,28/3/2012
KEI,md,6,3.24,F,25/1/2013
ulLSv,qtMUoYYzAH,9,1.95,M,21/8/2000
oJLqvMKZhH,fzXajYF,9,0.03,F,2/12/2003
KvavhUO,AHMB,3,3.21,F,19/11/2005
MTkyi,MszIhP,2,0.92,F,28/6/2003
ptgVsVKKFV,dpXDv,12,1.17,F,3/12/1995
gsRemGH,LdACEkLH,10,3.63,M,25/8/2015
NBjy,OVEI,11,3.1,F,11/6/2004
AbGGnCycM,SbUKZimTU,1,2.3,M,9/10/1999
ZjJRMNckC,Njd,7,0.64,M,22/11/2005
CvvoJTX,cICZzHdUJA,1,0.42,M,28/10/1998
MpYUZQz,MnmXz,3,1.73,M,2/6/1999
XUEul,yMYUwUlNOK,2,0.91,M,18/6/2006
tWDxKqg,MJs,11,3.98,M,19/11/2008
ddCU,JuEKn,8,3.69,F,2/12/1997
amHnTQ,famprR,3,2.81,M,6/4/1998
NE,eOn,7,2.15,M,7/12/1995
OqLEQBusW,DmRcXC,7,1.05,M,28/9/2001
XJGaXolvPn,lRenmgb,12,0.85,M,10/9/2001
FrjJAXLeiK,IPtCMlpYp,11,3.79,F,3/11/1995
eLN,QvFrjel,2,0.89,F,13/6/1996
TbML,giay,9,0.78,M,21/10/2013
HBfTiS,jbMgh,3,3.02,M,12/6/2000
scg,Pduj,3,2.3,F,16/4/2015
QdYOCjLFz,YzSOBEGPK,4,0.1,F,8/4/2003
gdSCRqSw,jWfjL,6,3.1,F,2/1/2000
BrwT,EBMPeUtK,8,1.12,F,14/9/2003
FCH,gaAcslGES,11,0.09,M,16/5/2004
AnXe,eg,7,2.56,M,6/1/2000
di,UE,8,2.97,F,8/7/2007
pEPIlQeOuS,oS,1,3.85,M,17/6/2015
luoIp,wi,4,0.94,M,12/4/1996
HHnJg,oAZ,5,1.12,F,23/1/2003
JraI,ppozMaSIb,3,1.91,F,11/12/2007
fVtmYR,rNStvvckF,12,3.8,F,23/1/2013
vr,RWJ,10,0.85,F,5/12/2001
pPmRvOBNF,oIEBWB,3,3.16,F,2/9/2012
GUys,KFnafKXdZw,2,2.53,F,5/7/2014
tqvRagzg,VvagRe,6,3.38,F,11/10/2009
THkW,aFpZVhYK,12,2.94,M,28/2/2009
cIvGrixatQ,Ab,7,2.31,M,4/10/2015
IcNh,KsgRr,8,2.66,M,24/9/2012
SKKCLIf,IQ,6,3.7,M,22/1/2011
vIiEHX,kh,2,1.51,F,15/2/2003
QqpxymF,WV,7,3.71,F,1/12/2005
GM,nSoMKU,9,2.4,F,8/8/1995
XnYKQhSH,SfAG,3,3.58,M,20/9/1998
EUHXYFNT,HbSyZ,1,3.02,F,10/1/2011
xj,Jhw,10,2.6,M,23/3/2011
cezYMAEyy,RQawiQuMcY,1,1.39,F,28/10/1999
DvpRKqyAO,KFhat,12,2.24,M,4/12/2014
kfqIcM,gHyeLr,7,3.08,F,11/11/2010
AiVxlTLJQk,Fkxjx,7,1.38,F,15/10/2010
FEKFkpYiub,PcYWTV,6,0.5,F,6/5/1996
CMdxOZ,FTM,1,3.55,F,7/11/1996
JTjnYXW,sCoPUuMmvt,7,3.17,M,23/10/2000
DbCzGcNV,xtaQzXD,11,1.96,F,1/2/1997
cWgmnCi,aNvWyiF,7,1.13,F,10/10/2012
fuuxc,YkeBMfZwd,3,0.94,M,9/6/1996
woJM,rreNmhsUm,2,1.55,M,26/10/2002
ZoAbHg,IMGV,9,1.57,M,19/9/2010
OztKisTap,MXTZQj,7,1.18,M,15/5/2010
kLYQjs,oJQv,12,0.06,F,26/1/1996
lBjEVgety,uWAhFX,2,0.85,F,4/3/2013
qnGHiornc,bX,2,0.94,M,9/7/2008
txopZN,OuJiUDg,3,1.69,F,25/9/2001
fSyZWOJ,WDnpqCMG,7,1.51,M,9/8/2014
qWaDJGMeZX,tKzxzMGv,5,0.76,M,26/10/1996
vFnssz,MinOHvzVm,2,1.66,F,14/2/2005
FIDzgWY,kVh,4,2.39,M,2/6/2010
PexU,keskQLc,7,3.7,F,22/4/2014
fEFm,KeJvS,11,2.17,F,27/3/2000
ifTjvTrryX,EaiYlHDHZ,2,3.24,M,27/10/1997
roMolb,OzBzLJvfJ,3,0.62,F,20/11/1996
cBWOo,jxuEvcbn,2,2.5,M,14/7/2012
hdhnFg,MbR,11,3.22,F,12/1/2006
NWFZ,GnvIgGsTpJ,2,0.92,M,25/10/1996
mn,sB,7,3.73,F,3/7/2002
LzdCkNq,duRXk,8,2.77,M,9/5/2006
oFDeGlhzN,lxJIyFYf,4,1.64,F,3/12/2011
WMaI,uxoqkY,4,2.77,M,11/7/2004
YKvzOr,gpsqEgCApm,3,1.69,F,23/3/2015
eTdDZrjZ,EUw,3,2.33,F,14/7/2007
hDBGABCxgt,AyFJie,10,2.57,M,4/11/2013
PZYhzhXSXF,uI,6,1.81,M,1/4/2006
LHwzdRug,gdsyF,2,1.23,M,11/3/2008
VPSs,cT,10,3.38,F,22/3/2009
DxqXcP,lCLjWC,10,0.89,M,18/8/2002
LaSoSJBVwq,kISPcUR,5,2.94,M,14/4/2012
UVVhpioEqE,MLhp,11,3.5,F,5/11/2015
lwOThtXk,CrPPRki,9,4.0,F,17/8/2001
pVaSf,RYdkd,8,1.73,M,8/8/2011
sa,Jl,3,2.98,M,16/5/1996
gLgdvOAi,PQeXiiHaY,8,1.91,F,2/6/1995
gCJa,oWuLe,4,3.81,F,17/2/2012
dZmKvrQd,dHVzZhcJEp,1,0.84,F,9/9/2001
pqOQmU,PptByfscHn,4,2.38,F,12/11/2002
dKiTKgRl,vz,5,0.41,F,27/1/2013
kLuLKYWfl,dvFGRA,3,1.81,M,27/12/1996
GIyeLnBkD,xyH,6,3.6,M,21/7/1997
gX,bQVethqjJm,11,2.84,M,14/12/2000
WZQ,bFIYBB,3,2.66,M,6/4/2014
luEW,GphSyKAyK,1,0.82,M,2/4/2005
lCeNVXkH,akoXP,7,3.36,F,1/6/2007
iqFnXBkI,kcItSlxw,8,1.65,M,26/7/2010
IH,SEwbW,6,2.22,M,25/4/2009
Zkz,boXIVAuDd,11,0.42,F,24/1/2007
HGyVv,EiCi,9,2.75,M,7/4/1997
gPsTuTaChu,gKTay,1,1.75,F,18/11/1998
gdCfXPSM,wxV,10,3.13,M,27/4/1995
XwUPP,cFPEAndygH,3,0.53,F,11/1/1998
TWUXK,LFfQGwMZT,5,2.2,M,13/12/2001
FYdswtwJqL,LlBjEZT,3,1.47,F,15/5/1995
ES,pXLoFfp,8,0.62,F,13/1/2000
QufU,cDWLd,2,2.08,F,5/5/2009
cXdoyrrBY,ZpZdNeyAUz,2,0.69,F,25/9/2003
MZl,NRXBCegGBx,2,2.99,F,23/7/2003
jQpUbabW,HmA,10,2.87,F,24/1/2005
ajOT,YNHINt,10,1.33,M,25/10/2003
UtOrSq,INJd,6,0.64,M,20/2/2008
xgOh,FJJ,9,0.38,F,21/8/2000
te,bsYqzX,5,1.72,M,15/12/2009
ewzC,zDoaIt,2,0.8,F,23/11/2010
vDmzvmJjjW,UdyjarD,10,1.32,M,28/4/2012
DiYOvy,bzVLRllo,5,1.69,M,8/5/2012
PYhn,rTuruUFtxi,12,1.1,M,8/5/2012
wzceEWkNAf,mVTYSMeosF,3,0.44,F,27/7/2008
Ue,eUFhhFjE,8,2.11,M,15/3/2011
AmR,Zupxm,11,3.02,F,16/8/2003
VMpllyD,MaP,8,0.46,M,23/4/2010
kbxWo,wcFaXM,7,1.86,M,3/2/2001
OzrAD,Rh,8,1.37,F,11/1/2004
fzjPTMU,eikJqNxVU,12,2.28,F,23/6/2008
wrAbcJstb,SJ,11,1.86,M,18/1/2015
nMVydH,yWIXKE,8,3.71,F,25/7/2008
SlioGLR,XNLakJQk,9,0.72,M,18/3/2013
oXVpXbkyf,YpYrgRWyzR,7,0.62,F,16/4/2010
ZzrHLDben,cDdFznUIp,8,3.39,M,9/10/2000
GfgV,bN,4,3.72,F,18/9/2011
bQBb,lBRWlG,6,3.46,F,3/9/2010
XdAHLYuX,lS,5,0.87,M,15/2/2012
PrLtlgczm,PTBEyG,5,1.19,F,12/8/2000
RlQShgKbM,pNAVoMx,3,2.81,F,24/8/2011
eGiQJKx,RtRpDw,8,1.29,M,2/12/1995
LVoTQKdAa,RtPVBzMB,7,2.14,F,5/11/2010
GveYA,wssHoifYVD,2,3.89,M,22/6/2005
DUbEt,AdrUH,6,0.63,M,4/4/2004
QRmHRHj,uFTdWpLCt,10,1.83,M,18/6/1997
tb,tcL,4,3.5,F,4/7/2003
aJviiJGUkN,bgtTR,7,1.94,M,27/9/1996
LcYGOIjPzv,fKxXN,10,0.13,M,14/3/2010
lmkje,KjqUufhcMc,9,2.17,F,28/7/1996
xwIDWDedO,aLmT,8,2.01,F,15/8/2010
dvkAaLID,vcmPAWEpr,4,2.9,F,25/3/2010
gOI,MBP,2,2.01,F,5/4/2013
MnELkoxe,uSDF,4,1.12,M,24/10/2011
RQnwMHt,XZ,11,0.61,M,13/3/2004
knadx,cjLGNGt,1,0.37,M,13/5/2011
oCexRI,xal,4,3.23,M,26/9/2006
fmiGWToBOc,XSHvhXAyZG,7,2.76,M,19/6/1997
eBAnfwxc,slD,7,0.09,F,27/7/2010
aTQq,gNBgy,6,0.57,M,26/6/2011
Meoj,AyLHB,11,2.23,M,7/7/2012
GCIRN,qBBLUuVp,4,3.73,M,6/12/1998
CXORAx,Jwck,3,1.26,F,10/7/2000
skRy,Kj,7,3.52,M,3/12/1997
wjAdVcjK,MGqAt,1,0.09,M,9/7/2010
dF,iv,5,0.08,M,2/8/2011
LbphUOj,uSjPQNKU,3,2.41,F,16/9/1995
JIPtLWrT,rBtRqIwj,11,3.76,M,21/7/2003
qTzUCXD,eVzNveamox,9,0.14,F,1/1/2011
WhInnO,TcsRZd,8,1.96,F,16/3/1995
wW,ElhekOcf,7,1.86,M,9/12/2012
LijyAXd,ynKUOj,6,2.45,F,11/11/2003
ByogZjOIa,HpE,3,1.67,F,21/10/2005
rRpiUsy,EuYkaK,9,2.5,F,1/7/2003
WVAwPM,GXI,4,2.0,F,17/10/2007
BQ,sUwy,3,0.15,M,3/9/2010
VnzTg,BPiCzjg,4,2.32,F,15/2/1997
TYc,INyoqBf,7,1.92,M,12/2/2009
LfZ,LWbItgJMP,7,0.21,M,24/10/2013
DxFX,sHOFDuzBYR,9,0.02,F,12/2/2001
SyYfhz,KNGpp,11,2.27,M,5/6/2014
nocSUqYE,tua,4,1.17,F,6/2/2002
QWYhewTtGG,RmFSOytm,4,3.28,M,15/11/1997
csUSAIe,fniykPrWXO,12,1.46,M,18/6/2009
XhfDYfNqY,tjx,5,1.4,M,8/8/2005
wW,hOwWzhYHs,8,0.99,M,22/12/2007
UJcmPxGFSA,TwLJFY,3,0.31,F,8/10/2011
GHoGovQZHK,WPIjbmVeAL,5,3.66,F,26/9/2014
SmXK,lF,8,2.09,F,12/9/1998
CBuVYOLHoZ,uJf,9,3.02,F,2/2/2005
DJlMlRpps,kqu,4,2.41,F,23/6/1995
mLylzdzn,gGRa,10,3.32,M,13/6/1996
XnpThydosY,Sm,8,3.6,F,27/9/2004
voKcT,QoJxIMdSzJ,11,0.02,F,21/6/2007
Nj,aXVuv,5,0.46,M,1/11/2011
TFThnW,vEEGuRx,7,1.3,F,15/11/2012
vZr,SXyhY,6,3.45,F,19/9/1997
yAADnibw,HRON,11,0.79,F,9/2/2010
wa,Lx,11,1.19,M,27/11/1995
IrWyIIeqEi,QmwrbMJ,5,1.59,M,1/4/2004
gLWBUZZwkD,cvhXwCjMR,10,3.73,M,7/7/1997
XmeueW,OoqRQIM,1,2.99,M,3/8/2002
yD,QEyluhYi,9,3.35,F,18/2/2015
ZlvIBUXty,FetltzL,5,2.82,M,23/9/1997
dFltEfjox,yoln,12,1.93,M,8/2/2001
KeLAJJKfk,af,2,2.59,M,19/9/2009
oN,Af,12,2.67,M,14/9/2010
LvK,xBcAhQyKh,12,0.76,M,14/12/1995
NtEVCH,sOkVSzB,12,1.45,M,20/9/2001
zLjHegjCxT,DAyiKzHsOp,9,3.61,F,28/12/2012
qQUqWwdBN,svTAd,10,2.44,M,5/7/2005
wx,CvTRzvc,2,0.09,F,17/11/2012
bYaH,vvIiErqqs,4,2.94,F,20/7/2006
IcnUyGg,uSkS,5,3.92,F,17/10/2015
iMIOeeyLH,jUhgHq,4,1.27,F,18/3/2009
LJpIHorzEA,yJE,4,1.18,F,4/5/2006
qElZGf,UyGdF,9,0.78,F,2/2/2001
iJ,qHtAWSozZs,12,2.96,M,12/4/1999
eybXug,pYIcDxpZ,5,0.15,F,9/12/1995
ZsvMO,oo,5,2.66,M,12/10/1997
LnARD,uTdkp,1,3.86,M,18/3/2002
seDCp,nEwwYwej,7,2.09,F,10/5/2014
ZQj,jw,4,2.22,F,12/10/2008
WZwsJ,fPRcPGAty,5,3.17,M,19/7/2014
dstfWiRFpv,KjHumk,12,3.13,F,21/5/2014
XGxYsE,yi,5,0.85,M,28/10/1997
eB,RIAuGXXD,10,2.67,M,11/11/2012
IDDafcwv,PysPJTYyh,9,2.2,F,9/8/1999
LCXHUU,dGIQW,8,0.14,M,11/1/1997
YCl,xenV,1,1.05,F,20/8/2011
jBjCDUPt,paoO,12,2.6,M,24/12/2011
Rrd,GUFJfw,12,2.36,F,19/12/2003
lJGdeAzb,uBwEBbWr,7,1.39,F,25/1/1999
ky,OCEkCNb,10,2.72,F,16/10/1995
aiBlTsIgX,qHX,11,2.0,M,10/11/2008
kDPE,BmjuMkFk,11,1.71,M,17/7/2001
bQCLGF,rpg,5,0.91,F,15/11/2001
DxVsmDeia,gpPq,6,3.92,M,5/6/2010
Ukksh,TAVwdW,12,2.62,M,28/4/2008
rZu,bCizO,7,2.8,F,18/8/2012
ckgyZVv,nYmzfn,3,3.47,F,16/9/2004
hExCRAA,fITYFKpm,11,0.1,M,4/11/2006
gxCWQRpoY,ZaPNBoP,12,2.62,M,19/7/2013
QlmSKrIr,Iotcij,1,2.38,F,13/1/2015
JR,KqjDeYbaXT,9,1.89,F,18/3/2001
tOuplo,wvCBpOqYgz,7,3.84,M,18/2/2007
pqPnXPMgb,jK,5,2.9,F,15/2/2015
NV,BAwKCsQ,11,0.21,M,21/7/2012
Hcjm,BvnFC,5,0.72,M,7/4/2002
YU,QrFJYuG,5,3.65,M,5/1/2003
kNwBR,ZkgLIUZ,4,0.55,M,5/2/2000
kqpKtGS,put,8,3.91,M,13/4/2007
dy,mzUzA,10,2.22,M,26/4/2013
ESIY,NUJvW,3,3.2,F,18/4/1995
